Language	webDevUse	gameDevUse	jewelyInName	scientificDataScienceUse	ObjectOriented	functionalLanguage	scriptingLanguage	iOSDevUse	androidDevUse	CompanysLang	firstAlphabetIsC	firstAlphabetIsJ	firstAlphabetIsP	firstAlphabetIsR	bornAfter2000	bornBefore1990
C	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0
C#	1.0	1.0	0	0	1.0	0	0	1.0	1.0	1.0	1.0	0	0	0	1.0	0
C++	0	1.0	0	1.0	1.0	0	0	0	1.0	0	1.0	0	0	0	0	1.0
COBOL	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0
D	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
Erlang	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	1.0
F#	0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	0	1.0	0
Go	1.0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	1.0	0
Haskel	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0
Java	1.0	1.0	0	1.0	1.0	0	0	0	1.0	1.0	0	1.0	0	0	0	0
JavaScript	1.0	1.0	0	0	1.0	0	1.0	1.0	1.0	0	0	1.0	0	0	0	0
Julia	0	0	0	1.0	1.0	0	1.0	0	0	0	0	1.0	0	0	1.0	0
Lisp	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0
Lua	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0
MATLAB	0	0	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0
Objective-C	0	1.0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	1.0
Perl	1.0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	1.0	0	0	1.0
PHP	1.0	0	0	0	1.0	0	1.0	0	0	0	0	0	1.0	0	0	0
Python	1.0	0	0	1.0	1.0	0	1.0	0	0	0	0	0	1.0	0	0	0
R	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0
Ruby	1.0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0
Rust	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0
Scala	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0
Swift	0	1.0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	1.0	0
